"Project ID","Project Name","Status","Points","Requirement Scope","Requirement Group","Requirement Title","Requirement Description","Weight (%)","Points (calculated)"
"c5gd8841-j40e-9fii-f6g3-04jk89220gk5","project-6","draft","70","Common","Model danych, Repository i JdbcTemplate","","Encje z @Entity, @Id, @GeneratedValue, @Column. Relacje @OneToMany/@ManyToOne z @JoinColumn, @ManyToMany z @JoinTable. ","4","2.8"
"c5gd8841-j40e-9fii-f6g3-04jk89220gk5","project-6","draft","70","Common","Model danych, Repository i JdbcTemplate","","Repository rozszerzające JpaRepository<T, ID> z custom query methods (findBy... lub @Query). Pageable support (Page<T>) dla paginacji. Konfiguracja w application.yml (datasource, jpa, hibernate). Używanie plików .sql do inicjalizacji bazy/danych","5","3.5"
"c5gd8841-j40e-9fii-f6g3-04jk89220gk5","project-6","draft","70","Common","Model danych, Repository i JdbcTemplate","","JdbcTemplate jako dependency. Zapytania SELECT z query() i RowMapper. Operacje INSERT/UPDATE/DELETE z update(). Użycie w serwisie lub dedykowanym DAO.","5","3.5"
"c5gd8841-j40e-9fii-f6g3-04jk89220gk5","project-6","draft","70","Common","REST API","","@RestController z @RequestMapping(""/api/v1/...""). GET (lista z paginacją, single), POST (tworzenie), PUT (aktualizacja), DELETE. @PathVariable, @RequestBody, @RequestParam. ResponseEntity z kodami HTTP (200, 201, 204, 400, 404).","7","4.9"
"c5gd8841-j40e-9fii-f6g3-04jk89220gk5","project-6","draft","70","Common","REST API","","Springdoc OpenAPI i Swagger UI dostępny pod /swagger-ui.html. Poprawna dokumentacja endpointów.","5","3.5"
"c5gd8841-j40e-9fii-f6g3-04jk89220gk5","project-6","draft","70","Common","Warstwa aplikacji - Business Logic","","@Service, @Transactional(readOnly = true/false). Dependency injection przez konstruktor. Mapowanie Entity ↔ DTO. Własne wyjątki (ResourceNotFoundException). @RestControllerAdvice + @ExceptionHandler dla globalnej obsługi błędów.","3","2.1"
"c5gd8841-j40e-9fii-f6g3-04jk89220gk5","project-6","draft","70","Common","Warstwa aplikacji - Business Logic","","Walidacja w DTO: @NotNull, @NotBlank, @Size, @Email, @Valid. Bean Validation na poziomie kontrolera i serwisu. Spójne komunikaty błędów.","3","2.1"
"c5gd8841-j40e-9fii-f6g3-04jk89220gk5","project-6","draft","70","Common","Warstwa aplikacji - Business Logic","","@Controller z Model i @ModelAttribute. Widoki z th:each (listy), th:object/th:field (formularze). Wyświetlanie błędów (th:errors). Layout z fragmentami (th:fragment, th:replace). Bootstrap 5 styling.","3","2.1"
"c5gd8841-j40e-9fii-f6g3-04jk89220gk5","project-6","draft","70","Common","Warstwa aplikacji - Business Logic","","Upload plików (MultipartFile, enctype=""multipart/form-data""). Zapis na dysk (Files.copy). Download plików (Resource, ResponseEntity<byte[]>). Export do CSV/PDF.","3","2.1"
"c5gd8841-j40e-9fii-f6g3-04jk89220gk5","project-6","draft","70","Common","Spring Security","","SecurityFilterChain jako @Bean. authorizeHttpRequests z requestMatchers do kontroli dostępu. formLogin z konfiguracją. BCryptPasswordEncoder dla szyfrowania haseł. UserDetailsService z loadUserByUsername.","4","2.8"
"c5gd8841-j40e-9fii-f6g3-04jk89220gk5","project-6","draft","70","Common","Testowanie","","@DataJpaTest dla testowania repository. Min. 10 testów CRUD. RowMapper i custom queries.","2","1.4"
"c5gd8841-j40e-9fii-f6g3-04jk89220gk5","project-6","draft","70","Common","Testowanie","","@Mock, @InjectMocks, Mockito: when().thenReturn(), verify(). Unit testy dla logiki biznesowej.","3","2.1"
"c5gd8841-j40e-9fii-f6g3-04jk89220gk5","project-6","draft","70","Common","Testowanie","","@WebMvcTest lub @SpringBootTest dla controllerów REST. MockMvc: perform(), andExpect(). @WithMockUser dla testów Security. Min. 5 scenariuszy biznesowych.","2","1.4"
"c5gd8841-j40e-9fii-f6g3-04jk89220gk5","project-6","draft","70","Common","Testowanie","","JaCoCo - coverage 70%+. Raport z pokryciem kodu. Testy obejmują Happy Path i Error Cases.","1","0.7"
"c5gd8841-j40e-9fii-f6g3-04jk89220gk5","project-6","draft","70","Common","Wymagania dodatkowe","","Zastosowanie logowania (poziomy INFO, ERROR, DEBUG) w kluczowych momentach procesów biznesowych (wejście do metody, wystąpienie błędu).","2","1.4"
"c5gd8841-j40e-9fii-f6g3-04jk89220gk5","project-6","draft","70","Common","Wymagania dodatkowe","","Przygotowanie pliku Dockerfile dla aplikacji oraz docker-compose.yml, który stawia aplikację oraz bazę danych. Umożliwienie uruchomienia całego środowiska jedną komendą docker-compose up.","4","2.8"
"c5gd8841-j40e-9fii-f6g3-04jk89220gk5","project-6","draft","70","Common","Wymagania dodatkowe","","Implementacja testu automatycznego (JUnit + ArchUnit), który pilnuje reguł architektonicznych z Grupy 1 i 2 (np. ""Klasy z pakietu Controller nie mogą zależeć od klas z pakietu Entity"" lub ""Klasy Service muszą być w pakiecie .service"").","4","2.8"
"c5gd8841-j40e-9fii-f6g3-04jk89220gk5","project-6","draft","70","Common","Wymagania dodatkowe","","Prosty test automatyczny uruchamiający przeglądarkę i sprawdzający, czy aplikacja (np. strona logowania lub Swagger) poprawnie się ładuje (tytuł strony, obecność elementu).","5","3.5"
"c5gd8841-j40e-9fii-f6g3-04jk89220gk5","project-6","draft","70","Common","Wymagania dodatkowe","","","5","3.5"
"c5gd8841-j40e-9fii-f6g3-04jk89220gk5","project-6","draft","70","Specific","Project-specific","","Wyświetlanie siatki produktów. Każdy element musi zawierać: Tytuł, Zdjęcie, Cenę bazową, Cenę z domyślną dostawą, Krótki opis, Stan magazynowy. Implementacja efektu 'Hover' (CSS/JS) - po najechaniu na produkt pojawiają się przyciski 'Dodaj do koszyka' i 'Szczegóły'. Inicjalizacja bazy przykładowymi danymi.","8","5.6"
"c5gd8841-j40e-9fii-f6g3-04jk89220gk5","project-6","draft","70","Specific","Project-specific","","Widok szczegółowy z rozszerzonym opisem i wyborem opcji dostawy (wpływającym na wyświetlaną cenę). Sekcja opinii: formularz dodawania recenzji (treść + ocena gwiazdkowa 1-5). Wyświetlanie listy opinii oraz wyliczanie i prezentacja średniej oceny produktu.","10","7"
"c5gd8841-j40e-9fii-f6g3-04jk89220gk5","project-6","draft","70","Specific","Project-specific","","Panel boczny lub górny umożliwiający: Sortowanie (rosnąco/malejąco po cenie z dostawą, po dacie dodania, po najwyższej ocenie). Filtrowanie: wybór kategorii/modelu (np. telefony), zakres cenowy (od-do). Logika realizowana w zapytaniach do bazy danych.","9","6.3"
"c5gd8841-j40e-9fii-f6g3-04jk89220gk5","project-6","draft","70","Specific","Project-specific","","Mechanizm koszyka przechowywany w sesji użytkownika (nie w bazie trwałej, dopóki nie złoży zamówienia). Funkcje: Dodawanie produktu (z wybraną ilością), zmiana ilości w koszyku, usuwanie pozycji. Dynamiczne obliczanie sumy końcowej (produkty + koszt wybranej dostawy).","9","6.3"
"c5gd8841-j40e-9fii-f6g3-04jk89220gk5","project-6","draft","70","Specific","Project-specific","","Formularz zamówienia: Wybór metody dostawy (Kurier/Paczkomat) i płatności. Formularz danych adresowych z rygorystyczną walidacją (@Valid, RegEx dla email, kodu pocztowego). Podsumowanie zamówienia przed ostatecznym zatwierdzeniem.","6","4.2"
"c5gd8841-j40e-9fii-f6g3-04jk89220gk5","project-6","draft","70","Specific","Project-specific","","Dostępny tylko dla roli ADMIN. Funkcjonalności: Dodawanie/Edycja produktów (w tym upload zdjęcia lub link), Moderacja opinii (usuwanie wulgarnych/spamowych komentarzy).","8","5.6"